epoch,split,loss,nll,phys,rmseT,rmseS,lr,sec
1,train,-0.17381,-0.17381,0.00000,1.44262,0.36752,2.98e-04,7.6
1,val,-0.83984,-0.83984,0.00000,1.27590,0.25549,2.98e-04,7.6
2,train,-0.79776,-0.79776,0.00000,1.23077,0.27249,2.93e-04,7.7
2,val,-1.04473,-1.04473,0.00000,1.20111,0.23915,2.93e-04,7.7
3,train,-0.98340,-0.98340,0.00000,1.17873,0.25418,2.84e-04,8.1
3,val,-1.21034,-1.21034,0.00000,1.15841,0.22892,2.84e-04,8.1
4,train,-1.07401,-1.07401,0.00000,1.14682,0.24560,2.71e-04,8.7
4,val,-1.24468,-1.24468,0.00000,1.14508,0.22260,2.71e-04,8.7
5,train,-1.15657,-1.15657,0.00000,1.12450,0.23974,2.56e-04,8.7
5,val,-1.29004,-1.29004,0.00000,1.12117,0.22053,2.56e-04,8.7
6,train,-1.21401,-1.21401,0.00000,1.10274,0.23523,2.38e-04,9.0
6,val,-1.35983,-1.35983,0.00000,1.10675,0.21745,2.38e-04,9.0
7,train,-1.26153,-1.26153,0.00000,1.09129,0.22966,2.18e-04,8.6
7,val,-1.41315,-1.41315,0.00000,1.09129,0.21528,2.18e-04,8.6
8,train,-1.30657,-1.30657,0.00000,1.07981,0.22585,1.96e-04,8.7
8,val,-1.40778,-1.40778,0.00000,1.08728,0.21198,1.96e-04,8.7
9,train,-1.33255,-1.33255,0.00000,1.07368,0.22179,1.73e-04,9.2
9,val,-1.46023,-1.46023,0.00000,1.07820,0.21485,1.73e-04,9.2
10,train,-1.37186,-1.37186,0.00000,1.06296,0.22172,1.50e-04,9.2
10,val,-1.45809,-1.45809,0.00000,1.07587,0.20994,1.50e-04,9.2
11,train,-1.38039,-1.38039,0.00000,1.05579,0.22035,1.27e-04,8.8
11,val,-1.49055,-1.49055,0.00000,1.06757,0.20788,1.27e-04,8.8
12,train,-1.40632,-1.40632,0.00000,1.04730,0.21793,1.04e-04,8.6
12,val,-1.50850,-1.50850,0.00000,1.06956,0.20742,1.04e-04,8.6
13,train,-1.42337,-1.42337,0.00000,1.04575,0.21733,8.19e-05,8.4
13,val,-1.49608,-1.49608,0.00000,1.06849,0.20840,8.19e-05,8.4
14,train,-1.44267,-1.44267,0.00000,1.04128,0.21518,6.18e-05,8.4
14,val,-1.51895,-1.51895,0.00000,1.06307,0.20663,6.18e-05,8.4
15,train,-1.45942,-1.45942,0.00000,1.03868,0.21518,4.39e-05,8.9
15,val,-1.54897,-1.54897,0.00000,1.05717,0.20421,4.39e-05,8.9
16,train,-1.46121,-1.46121,0.00000,1.03358,0.21436,2.86e-05,8.9
16,val,-1.55263,-1.55263,0.00000,1.05868,0.20404,2.86e-05,8.9
17,train,-1.46406,-1.46406,0.00000,1.03009,0.21290,1.63e-05,8.8
17,val,-1.55780,-1.55780,0.00000,1.05538,0.20346,1.63e-05,8.8
18,train,-1.48586,-1.48586,0.00000,1.03307,0.21405,7.34e-06,8.3
18,val,-1.56161,-1.56161,0.00000,1.05499,0.20342,7.34e-06,8.3
19,train,-1.48369,-1.48369,0.00000,1.03101,0.21316,1.85e-06,8.4
19,val,-1.56213,-1.56213,0.00000,1.05430,0.20334,1.85e-06,8.4
20,train,-1.48901,-1.48901,0.00000,1.03628,0.21231,0.00e+00,8.2
20,val,-1.56308,-1.56308,0.00000,1.05418,0.20333,0.00e+00,8.2
