epoch,split,loss,nll,phys,rmseT,rmseS,lr,sec
1,train,-0.24068,-0.24128,0.00599,1.41918,0.36270,2.98e-04,7.7
1,val,-0.83467,-0.83468,0.00008,1.26649,0.25975,2.98e-04,7.7
2,train,-0.85064,-0.85105,0.00408,1.21406,0.27067,2.93e-04,10.0
2,val,-1.14661,-1.14661,0.00002,1.18279,0.23358,2.93e-04,10.0
3,train,-1.01919,-1.01944,0.00250,1.15877,0.25213,2.84e-04,10.6
3,val,-1.16611,-1.16611,0.00002,1.15116,0.22802,2.84e-04,10.6
4,train,-1.11348,-1.11365,0.00170,1.12481,0.24490,2.71e-04,12.2
4,val,-1.29545,-1.29545,0.00001,1.12205,0.22142,2.71e-04,12.2
5,train,-1.19555,-1.19568,0.00137,1.10603,0.23792,2.56e-04,12.0
5,val,-1.36684,-1.36684,0.00001,1.09570,0.21370,2.56e-04,12.0
6,train,-1.25800,-1.25811,0.00108,1.08504,0.23103,2.38e-04,10.9
6,val,-1.38934,-1.38934,0.00000,1.08236,0.21359,2.38e-04,10.9
7,train,-1.30761,-1.30770,0.00087,1.06461,0.22638,2.18e-04,8.9
7,val,-1.47394,-1.47395,0.00002,1.06325,0.21035,2.18e-04,8.9
8,train,-1.35893,-1.35901,0.00072,1.04730,0.22336,1.96e-04,8.5
8,val,-1.45955,-1.45955,0.00000,1.06125,0.21045,1.96e-04,8.5
9,train,-1.39316,-1.39323,0.00065,1.03571,0.22013,1.73e-04,7.9
9,val,-1.52645,-1.52645,0.00000,1.03884,0.20613,1.73e-04,7.9
10,train,-1.43556,-1.43561,0.00056,1.02483,0.21727,1.50e-04,7.8
10,val,-1.54863,-1.54864,0.00000,1.03602,0.20465,1.50e-04,7.8
11,train,-1.45622,-1.45627,0.00049,1.02168,0.21476,1.27e-04,7.9
11,val,-1.58745,-1.58745,0.00000,1.02099,0.20044,1.27e-04,7.9
12,train,-1.48191,-1.48195,0.00046,1.01257,0.21413,1.04e-04,7.9
12,val,-1.58874,-1.58874,0.00000,1.02077,0.20023,1.04e-04,7.9
13,train,-1.49780,-1.49784,0.00046,1.00413,0.21258,8.19e-05,7.9
13,val,-1.61579,-1.61579,0.00000,1.01421,0.19920,8.19e-05,7.9
14,train,-1.52454,-1.52458,0.00042,0.99091,0.20954,6.18e-05,8.0
14,val,-1.61480,-1.61480,0.00000,1.01211,0.19856,6.18e-05,8.0
15,train,-1.54589,-1.54592,0.00036,0.99298,0.20810,4.39e-05,8.0
15,val,-1.61463,-1.61463,0.00000,1.01093,0.19840,4.39e-05,8.0
16,train,-1.55823,-1.55826,0.00039,0.98633,0.20894,2.86e-05,7.9
16,val,-1.63303,-1.63303,0.00000,1.00700,0.19693,2.86e-05,7.9
17,train,-1.56408,-1.56412,0.00036,0.98853,0.20889,1.63e-05,7.5
17,val,-1.64320,-1.64320,0.00000,1.00501,0.19678,1.63e-05,7.5
18,train,-1.57016,-1.57019,0.00034,0.98713,0.20846,7.34e-06,7.4
18,val,-1.64880,-1.64880,0.00000,1.00451,0.19625,7.34e-06,7.4
19,train,-1.58528,-1.58531,0.00037,0.98060,0.20704,1.85e-06,7.4
19,val,-1.65360,-1.65360,0.00000,1.00344,0.19640,1.85e-06,7.4
20,train,-1.56820,-1.56824,0.00033,0.98331,0.20872,0.00e+00,7.7
20,val,-1.65506,-1.65506,0.00000,1.00317,0.19616,0.00e+00,7.7
