epoch,split,loss,nll,phys,rmseT,rmseS,lr,sec
1,train,-0.23985,-0.24148,0.00543,1.41933,0.36271,2.98e-04,14.4
1,val,-0.83519,-0.83520,0.00005,1.26671,0.25970,2.98e-04,14.4
2,train,-0.85082,-0.85193,0.00370,1.21404,0.27055,2.93e-04,14.6
2,val,-1.14726,-1.14727,0.00001,1.18283,0.23359,2.93e-04,14.6
3,train,-1.01955,-1.02022,0.00222,1.15867,0.25203,2.84e-04,13.8
3,val,-1.16662,-1.16662,0.00001,1.15120,0.22805,2.84e-04,13.8
4,train,-1.11390,-1.11434,0.00148,1.12466,0.24482,2.71e-04,14.1
4,val,-1.29622,-1.29622,0.00000,1.12207,0.22146,2.71e-04,14.1
5,train,-1.19587,-1.19623,0.00118,1.10596,0.23783,2.56e-04,14.1
5,val,-1.36710,-1.36711,0.00001,1.09571,0.21368,2.56e-04,14.1
6,train,-1.25837,-1.25865,0.00092,1.08501,0.23096,2.38e-04,13.9
6,val,-1.38949,-1.38949,0.00000,1.08253,0.21361,2.38e-04,13.9
7,train,-1.30793,-1.30815,0.00073,1.06455,0.22631,2.18e-04,12.6
7,val,-1.47448,-1.47448,0.00001,1.06327,0.21030,2.18e-04,12.6
8,train,-1.35896,-1.35915,0.00060,1.04740,0.22330,1.96e-04,8.2
8,val,-1.45908,-1.45908,0.00000,1.06141,0.21052,1.96e-04,8.2
9,train,-1.39336,-1.39352,0.00054,1.03568,0.22006,1.73e-04,8.3
9,val,-1.52718,-1.52718,0.00000,1.03888,0.20612,1.73e-04,8.3
10,train,-1.43555,-1.43569,0.00046,1.02486,0.21724,1.50e-04,8.3
10,val,-1.54884,-1.54884,0.00000,1.03618,0.20465,1.50e-04,8.3
11,train,-1.45626,-1.45638,0.00040,1.02174,0.21473,1.27e-04,8.2
11,val,-1.58729,-1.58729,0.00000,1.02119,0.20047,1.27e-04,8.2
12,train,-1.48215,-1.48227,0.00038,1.01257,0.21408,1.04e-04,8.3
12,val,-1.58875,-1.58875,0.00000,1.02093,0.20027,1.04e-04,8.3
13,train,-1.49768,-1.49779,0.00038,1.00424,0.21254,8.19e-05,7.9
13,val,-1.61559,-1.61559,0.00000,1.01447,0.19923,8.19e-05,7.9
14,train,-1.52476,-1.52486,0.00034,0.99095,0.20948,6.18e-05,8.2
14,val,-1.61447,-1.61447,0.00000,1.01236,0.19859,6.18e-05,8.2
15,train,-1.54630,-1.54638,0.00029,0.99294,0.20805,4.39e-05,8.2
15,val,-1.61473,-1.61473,0.00000,1.01115,0.19842,4.39e-05,8.2
16,train,-1.55832,-1.55841,0.00032,0.98637,0.20891,2.86e-05,8.5
16,val,-1.63293,-1.63293,0.00000,1.00719,0.19695,2.86e-05,8.5
17,train,-1.56435,-1.56444,0.00030,0.98851,0.20884,1.63e-05,8.7
17,val,-1.64320,-1.64320,0.00000,1.00524,0.19681,1.63e-05,8.7
18,train,-1.57049,-1.57057,0.00027,0.98716,0.20839,7.34e-06,8.2
18,val,-1.64885,-1.64885,0.00000,1.00473,0.19628,7.34e-06,8.2
19,train,-1.58544,-1.58553,0.00030,0.98064,0.20701,1.85e-06,8.3
19,val,-1.65356,-1.65356,0.00000,1.00366,0.19644,1.85e-06,8.3
20,train,-1.56805,-1.56813,0.00027,0.98353,0.20875,0.00e+00,8.3
20,val,-1.65500,-1.65500,0.00000,1.00339,0.19620,0.00e+00,8.3
